texto,label
"SIDINEI CUSTÓDIO DA SILVA PREFEITO MUNICIPAL PREFEITURA MUNICIPAL DE DOM AQUINOATO EXTRATO CONTRATO DE PRESTAÇÃO DE SERVIÇOS 005/2020 CONTRATADO: DERMO RON FARMACIA DE MANIPULAÇÃO LTDA ME – CNPJ: 00.871.628/0001-62OBJETO: -  AQUISIÇÃO DE MEDICAMENTOS (IVERMECTINA 6 MG), DE  PREVENÇÃO  DA POPULAÇÃO  E  AUXILIO  DOS  PROFISSIONAIS  DA SAÚDE  E  CASOS  SUSPEITOS  OU  CONFIRMADOS  DO  COVID  19,  COM  A  FINALIDADE  DE  ATENDER  A DEMANDA DA SECRETARIA MUNICIPAL DE SAÚDE VALOR: R$ 20.000,00 (VINTE MIL REAIS)DATA DE ASSINATURA: 13/07/2020VIGÊNCIA:04 (QUATRO) MESES A CONTAR DA DATA DE SUA ASSINATURA VALDÉCIO LUIZ DA COSTA PREFEITO MUNICIPAL EDITAL Nº 003/2020 EDITAL DE CONVOCAÇÃO DE AUDIÊNCIA PÚBLICA VIRTUAL METAS FISCAIS DO 1ºQUADRIMESTRE/2020 O PREFEITO MUNICIPAL DE DOM AQUINO-MT, VALDÉCIO LUIZ DA COSTA, NO USO DE SUAS ATRIBUIÇÕES, COM FULCRO NO PARÁGRAFO ÚNICO, ARTIGO 48 DA LEI COMPLEMENTAR 101 DE  04/05/2000 E NOTA TÉCNICA 04/2020 DO TCE-MT E IN SPO Nº002/2020.",0
"DOM AQUINO-MT, 01 DE JULHO DE 2020 VALDÉCIO LUIZ DA COSTA PREFEITO MUNICIPAL LICITAÇÃO AVISO  HOMOLOGAÇÃO  E  ADJUDICAÇÃO  DA  DISPENSA  DE LICITAÇÃO N. 004/2020 O MUNICÍPIO DE DOM AQUINO-MT,  ATRAVÉS DO  PREFEITO  MUNICIPAL ABAIXO ASSINADO,  HOMOLOGA  E  ADJUDICA A  DISPENSA  DOS  PROCEDIMENTOS  LICITATÓRIOS,  COM EMBASAMENTO LEGAL: ARTIGO 4º DA LEI 13.979/2020 E DECRETO 022/2020, DA SITUAÇÃO DE EMERGÊNCIA  NO MUNICÍPIO DE DOM AQUINO E PARECER JURÍDICO DE DISPENSA DE LICITAÇÃO PROFERIDO PELA ASSESSORIA JURÍDICA DESSE MUNICÍPIO, COM OBJETIVO DE AQUISIÇÃO  DE MEDICAMENTOS (IVERMECTINA 6 MG),  DE  PREVENÇÃO  DA  POPULAÇÃO  E  AUXILIO  DOS  PROFISSIONAIS  DA  SAÚDE  E  CASOS SUSPEITOS OU CONFIRMADOS DO COVID 19, COM A FINALIDADE DE ATENDER A DEMANDA DA SECRETARIA MUNICIPAL  DE  SAÚDE,  COM  DISPENSA  DE  LICITAÇÃO,  NOS  TERMOS ESTATUÍDOS PELA LEI FEDERAL Nº 8.666/93.",0
"26 DA LEI 8666/93, COM FULCRO NO ARTIGO 24, INCISO II DA LEI FEDERAL 8.666/93 E ALTERAÇÕES, A DISPENSA DE  LICITAÇÃO  Nº  013/2020, A  FAVOR  DA  CONTRATAÇÃO  DA  EMPRESA  A  H  HASS  &  CIA  LTDA, CADASTRADA  NO  CNPJ/MF  Nº  03.956.153/0001-03,  OBJETIVANDO  A  AQUISIÇÃO  DE  MEDICAMENTOS IVERMECTINA  6MG  COMPRIMIDOS,  PARA  SEREM  UTILIZADOS  NO  TRATAMENTO  DE  PACIENTES  COM COVID-19  DE  INTERESSE  DA SECRETARIA  MUNICIPAL  DE SAÚDE  E  SANEAMENTO  DO  MUNICÍPIO  DE  MARCELÂNDIA/MT, NO VALOR DE R$ 16.250,00 (DEZESSEIS MIL, DUZENTOS E CINQUENTA REAIS).",0
"1º - DESIGNAR PARA FISCAL DOS CONTRATOS ADMINISTRATIVOS Nº 073/2020  –  CUJO  OBJETO  É:  “CONTRATAÇÃO  DE  EMPRESA  PARA  FORNECIMENTO  DO  MEDICAMENTO IVERMECTINA 6 MG PARA ATENDER A DEMANDA ATUAL DIANTE DA PANDEMIA, INDICADO PARA A PROFILAXIA DE COVID-19,  CONFORME  DECRETO  MUNICIPAL  116/2020  DA  PREFEITURA  MUNICIPAL  DE  PARANAÍTA-MT, CONSTANTES NO ATO DE DISPENSA Nº 022/2020, OS (AS) SEGUINTE (S) SERVIDOR (AS):KEILA FRANCIELI VOLPEART.",6
"DESTACOU QUE O CICLO MEDICAMENTOSO UTILIZADO NO TRATAMENTO CONTRA A COVID-19, CONSISTE NA UTILIZAÇÃO DE HIDROXICLOROQUINA 400MG,  AZITROMICINA 500MG E IVERMECTINA 6MG.",6
"AO DIA, DURANTE 5 DIAS+ IVERMECTINA 6 MG – CONFORME PESO DO PACIENTE TESTE  RÁPIDO  COVID  19  A PARTIR DO 8º DIA PCR SWAB DO 3º AO 7º DIA DE ELETROCARDIOGRAMA DIAGNÓSTICO  DIFERENCIAL SOROLOGIA DENGUE RECOMENDAÇÃO  PARA PRESCRIÇÃO EM GESTANTES PRESCREVER DO 1º AO 14º DIA DIFOSFATO DE CLOROQUINAD1: 500MG 12/12HD2 AO D5: 500 MG 24/24H+AZITROMICINA500MG 1X AO DIA, DURANTE 5 DIASAPÓS O 14º  DIA PRESCREVER TRATAMENTO SINTOMÁTICO.",6
"(2020) (3), A AÇÃO ANTIVIRAL PROPOSTA PELA IVERMECTINA NO CORONAVÍRUS ACONTECE DA SEGUINTE FORMA: O IMPΑ/Β1 SE  LIGA À PROTEÍNA DE CARGA DO CORONAVÍRUS NO CITOPLASMA E A TRANSLOCA ATRAVÉS DO COMPLEXO DE POROS NUCLEARES  (NPC)  PARA  O  NÚCLEO  ONDE  O  COMPLEXO  SE  DESINTEGRA  E  A  CARGA  VIRAL  PODE  REDUZIR  A RESPOSTA ANTIVIRAL DA CÉLULA HOSPEDEIRA, LEVANDO A UMA INFECÇÃO AVANÇADA.",6
"NESTE  ESTUDO,  FOI  DEMONSTRADO  QUE  CÉLULAS  INFECTADAS  PELO  NOVO CORONAVÍRUS TIVERAM UMA REDUÇÃO DE 93% DA REPLICAÇÃO VIRAL EM 24 HORAS E REDUÇÃO COMPLETA DA  CARGA VIRAL APÓS 48 HORAS, QUANDO EXPOSTAS À IVERMECTINA.",6
"052/2020, CUJO OBJETO É A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA  PARA  A  AQUISIÇÃO  DE  MEDICAMENTO  IVERMECTINA,  PARA TRATAMENTO DE PACIENTES ACOMETIDOS DO CORONAVÍRUS – COVID-19CONTRATANTE: PREFEITURA MUNICIPAL DE CAMPO VERDE CONTRATADO:  GOLDENPLUS  COMÉRCIO  DE  MEDICAMENTOS  E PRODUTOS HOSPITALARES LTDA – CNPJ: 17.472.278/0001-64OBJETO: FICA PRORROGADO A VIGÊNCIA DO CONTRATO ATÉ 24 DE AGOSTO DE 2020,  CONTADOS A PARTIR DE 24 DE JULHO DE 2020.",6
"OBJETO DO CONTRATO:CONTRATAÇÃO  DE  EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE HIDROXICLOROQUINA E IVERMECTINA PARA O MUNICIPIO DE PORTO DOS GAÚCHOS – MT, NO ENFRENTAMENTO AO COVID-19.",6
"OBJETO: CONTRATAÇÃO  DE  UNIDADE  HOSPITALAR  PARA DISPONIBILIZAÇÃO DE LEITOS EM UNIDADES DE TERAPIA INTENSIVA ADULTO E LEITOS  CLÍNICOS  DE  ENFERMARIA  ADULTO  NO  ÂMBITO  DOS  HOSPITAIS  PRIVADOS  ,  COMO MEDIDA PARA ENFRENTAMENTO DE EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTANCIA INTERNACIONAL  EM  DECORRÊNCIA  DO  CORONA VIRUS  SARS-COV2,  CAUSADOR  DA DOENÇA COVID 19, NO MUNICIPIO DE ALTA FLORESTA-MT LICITAÇÃO TERMO  DE  RATIFICAÇÃO  DE  DISPENSA  DE  LICITAÇÃO  N° 011/2020OBJETO: AQUISIÇÃO  DE  IVERMECTINA-CONCENTRAÇÃO/DOSAGEM 6MG, SULFATO DE ZINCO – CONCENTRAÇÃO/DOSAGEM  50MG,  CLOROQUINA, DISFOSFATO  –  CONCENTRAÇÃO/DOSAGEM  500MG,  EM FARMÁCIAS  DE MANIPULAÇÃO  PARA ATENDIMENTO  DE PACIENTES  COM  RECEITA MÉDICA  DA  REDE  PÚBLICA MUNICIPAL  DE  SAÚDE  DO  MUNICIPIO  DE  ALTA FLORESTA-MT CONTRATADO: F. F. BORGES CNPJ 12.054.228/0001-43PRAZO: 03 (TRÊS) MESES FUNDAMENTO LEGAL: ART.",0
"OBJETO CONTRATAÇÃO EMERGENCIAL PARA AQUISIÇÃO DE MEDICAMENTOS (DEXAMETASONA, AZITROMICINA, ÁCIDO ASCÓRBICO E IVERMECTINA) PARA FINS DE ENFRENTAMENTO DA EMERGÊNCIA  DE  SAÚDE  PÚBLICA  DE  IMPORTÂNCIA  INTERNACIONAL  DECORRENTE  DO NOVO CORONAVÍRUS, CAUSADOR DA COVID-19.",6
"PREFEITURA MUNICIPAL DE ARAPUTANGA PREFEITURA MUNICIPAL DE ARAPUTANGA-MT TERMO DE RATIFICAÇÃO - DISPENSA DE LICITAÇÃO Nº 022/2020 A PREFEITURA MUNICIPAL DE ARAPUTANGA-MT, ATRAVÉS DO PREFEITO MUNICIPAL, SR.  JOEL  MARINS  DE  CARVALHO,  TORNA  PÚBLICO  QUE,  EM  VIRTUDE  DE  TER  CONCORDADO  COM  A JUSTIFICATIVA APRESENTADA PELA SECRETÁRIA MUNICIPAL DE ADMINISTRAÇÃO E EMISSÃO DE PARECER JURÍDICO  FAVORÁVEL À CONTRATAÇÃO NAS FORMAS DA LEI APRESENTADO PELO PROCURADOR JURÍDICO DO MUNICÍPIO, NO  PROCESSO DE AQUISIÇÃO DE MATERIAL PARA COLETA DE AMOSTRAS DO VÍRUS COVID -19 E DO MEDICAMENTO IVERMECTINA EM CARÁTER EMERGENCIAL, EM ATENDIMENTO AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE E DA FARMÁCIA BÁSICA, O VALOR TOTAL DA CONTRATAÇÃO, CONSIDERANDO TODOS OS ITENS É DE R$  7.062,00  (SETE  MIL  E  SESSENTA  E  DOIS  REAIS)  NO  QUAL  FORMULOU-SE  EXPEDIENTE  DE  DISPENSA  DE  LICITAÇÃO N°.",0
"FISCAL DO CONTRATO: ANDREIA QUEIROZ DA SILVA ARAÚJO  EXTRATO DO CONTRATO Nº 052/2020 CONTRATANTE: PREFEITURA MUNICIPAL DE CAMPO VERDE CONTRATADO:  GOLDENPLUS  COMÉRCIO  DE  MEDICAMENTOS  E PRODUTOS HOSPITALARES LTDA.-EPP – CNPJ: 17.472.278/0001-64OBJETO:  DISPENSA  DE  LICITAÇÃO  EM  CARÁTER  EMERGENCIAL  PARA  A AQUISIÇÃO DE MEDICAMENTO IVERMECTINA 6MG, PARA TRATAMENTO DE PACIENTES ACOMETIDOS PELO  CORONAVÍRUS (COVID-19).",6
"COMUNICAMOS QUE CONFORME EDITAL PUBLICADO EM MEIOS ELETRÔNICOS, REFERENTE AO PREGÃO ELETRÔNICO Nº 003/2020, REGISTRO DE PREÇOS Nº 026/2020, CUJA ABERTURA SE DEU EM  03/07/2020, SAGRARAM-SE VENCEDORA DO CERTAME A EMPRESA:EASY SOLUÇOES DIAGNOSTICAS LTDA ME, CNPJ Nº 19.993.061/0001-25:ITEM DESCRIÇÃO UND QTD MARCA R$ UNT01 TESTE RÁPIDO  PARA DETECÇÃO  QUALITATIVA DE  IGG/IGM DO  COVID-19  (PARA SER  USADO  EM AMOSTRAS DE SANGUE TOTAL, SORO E PLASMA)UND 500 KOVALENT 69,99ITENS DESERTOS, E OU FRACASADOS ITEM UNID DESCRIÇÃO/ESPECIFICAÇÃO/ESPECIFICAÇÃO TÉCNICA QUANT02 UN COMPRIMIDOS DE AZITROMICINA 500MG 5.00003 UN COMPRIMIDOS DE IVERMECTINA 6 MG 5.00004 UN CEFTRIAXONA 1G/IV (FRASCO/AMPOLA) 50005 UN AMPOLAS DE ENOXAPARINA 40 MG (SERINGAS) 90PUBLICAÇÃO   OFICIAL   DO   TRIBUNAL   DE   CONTAS   DE  MATO   GROSSO    –    LEI   COMPLEMENTAR   475   DE   27   DE   SETEMBRO   DE   2012COORDENAÇÃO:SECRETARIA GERAL DO TRIBUNAL PLENO: TELEFONE (65) 3613-7678  - E-MAIL: DOC_TCE@TCE.MT.GOV.BRRUA CONSELHEIRO BENJAMIN DUARTE MONTEIRO, S/N, EDIFÍCIO MARECHAL RONDON – CENTRO POLÍTICO ADMINISTRATIVO – CUIABÁ-MT – CEP 78049-915DIÁRIO OFICIAL DE CONTAS TRIBUNAL DE CONTAS DE MATO GROSSO ANO 9  Nº 1947DIVULGAÇÃO TERÇA-FEIRA, 7 DE JULHO DE 2020 – PÁGINA 130PUBLICAÇÃO QUARTA-FEIRA, 8 DE JULHO DE 202006 UN COMPRIMIDOS DE HIDROXICLOROQUINA 400 MG 280007 UN FRASCOS DE ACEBROFILINA 50MG/5ML 20008 UN COMPRIMIDOS DEXAMETASONA 4 MG 280009 UN AMPOLAS DE DEXAMETASONA 4 MG/ML 100010 UN FRASCOS DE DIPIRONA 500 MG (10ML) 20011 UN COMPRIMIDOS PARACETAMOL 500 MG 600012 UN KIT PCR SEM CONTROLE 100VERA - MT, 03 DE JULHO DE 2020.",2
